,Unnamed: 0,Unnamed: 6,Star_name,Distance,Mass,Radius
0,15,27.0,2MASS J02103857-3015313,101.0,15,1.53
1,17,130.0,2MASS J13204427+0409045,101.0,67,1.01
2,21,68.0,2MASS J06085283-2753583,102.0,38,1.51
3,25,141.0,CFBDSIR 1458+10A,104.0,11.1,1.5
4,27,142.0,CFBDSIR 1458+10B,104.0,9,1.3
5,29,169.0,2MASS J20004841-7523070,105.0,25,1.88
6,41,158.0,2MASS J16262034+3925190 [de],110.0,71,1.03
7,43,26.0,SDSS J020742.48+000056.2 [de],111.0,47,0.97
8,47,175.0,HB 2124-4228,113.0,94,1.21
9,49,162.0,2MASSI J1726000+153819,114.0,24,1.4
10,53,33.0,Teegarden's star,12.578,80,1.27
11,57,116.0,2MASS J11544223-3400390 [de],129.0,37,1.5
12,59,105.0,DEN 1048-3956,13.15,77,1.07
13,61,76.0,UGPS J072227.51-054031.2,13.4,26,0.98
14,63,21.0,2MASS J01415823-4633574 [de],130.0,20,1.61
15,67,9.0,2MASS J00332386-1521309 [de],131.0,29,1.43
16,71,114.0,TWA 26,137.0,30,2.2
17,73,167.0,2MASSW J1841086+311727,138.0,67,1.01
18,75,54.0,2MASS J04362788-4114465,142.0,39,1.97
19,81,186.0,2MASS J23225299-6151275,148.0,17,1.59
20,83,135.0,SDSS J141659.78+500626.4 [de],149.0,59,0.99
21,85,29.0,2MASS J02411151-0326587 [de],152.0,27,1.41
22,87,180.0,2MASSW J2208136+292121,154.0,27,1.41
23,89,28.0,2MASS J02340093-6442068,155.0,20,1.62
24,91,83.0,DENIS J081730.0-615520,16.1,44,0.94
25,93,36.0,DEN 0255-4700,16.2,80,0.97
